SG_UF_PROVA,participantes,media_geral,media_objetivas,media_cn,media_ch,media_lc,media_mt,media_redacao
MG,13771,574.0,544.82,511.95,554.49,539.81,573.04,690.72
SC,3343,563.77,538.71,507.26,548.94,538.67,559.97,663.99
SP,24876,563.55,539.82,504.24,550.13,543.68,561.25,658.46
RS,7274,559.27,533.6,500.97,545.04,537.26,551.15,661.94
ES,3327,557.71,530.38,500.74,541.82,528.14,550.83,667.02
DF,2830,557.6,535.32,507.12,548.14,537.93,548.08,646.75
PR,5351,554.01,532.75,504.59,543.12,532.73,550.56,639.06
RJ,15430,549.65,525.0,494.71,539.16,530.02,536.13,648.22
PE,11471,539.55,513.99,490.45,522.43,512.51,530.56,641.82
GO,7060,538.18,514.04,489.05,525.45,512.49,529.17,634.71
MS,2011,537.2,514.62,490.32,525.32,515.75,527.1,627.53
RN,6056,535.2,511.21,490.69,522.58,510.95,520.61,631.16
SE,5402,534.3,503.69,482.83,517.0,502.85,512.08,656.75
PB,7030,534.09,507.32,485.17,518.34,505.65,520.11,641.21
MT,2662,531.24,509.04,485.91,519.19,508.95,522.1,620.03
RO,1584,531.2,506.35,483.02,519.47,504.85,518.06,630.57
CE,18298,529.5,507.15,484.44,515.32,504.63,524.19,618.94
BA,16939,528.38,503.35,480.77,516.96,504.91,510.77,628.48
AL,3760,527.76,502.14,480.71,512.38,499.88,515.58,630.23
TO,1408,527.69,502.91,482.9,512.58,500.01,516.15,626.83
RR,342,526.83,508.98,487.82,520.34,513.08,514.68,598.25
AC,1325,525.51,501.23,477.8,513.58,504.95,508.59,622.64
PI,6026,524.95,497.24,475.63,508.4,493.79,511.15,635.77
MA,8339,519.99,493.65,476.03,504.98,490.22,503.37,625.33
PA,15242,514.19,489.04,470.73,505.42,488.04,491.96,614.81
AP,1228,514.02,491.0,472.16,508.64,493.42,489.78,606.12
AM,3479,501.76,486.7,469.63,499.21,490.75,487.22,561.99
