SG_UF_PROVA,participantes,media_geral,media_objetivas,media_cn,media_ch,media_lc,media_mt,media_redacao
AM,3479,501.76,486.7,469.63,499.21,490.75,487.22,561.99
AP,1228,514.02,491.0,472.16,508.64,493.42,489.78,606.12
PA,15242,514.19,489.04,470.73,505.42,488.04,491.96,614.81
MA,8339,519.99,493.65,476.03,504.98,490.22,503.37,625.33
PI,6026,524.95,497.24,475.63,508.4,493.79,511.15,635.77
AC,1325,525.51,501.23,477.8,513.58,504.95,508.59,622.64
RR,342,526.83,508.98,487.82,520.34,513.08,514.68,598.25
TO,1408,527.69,502.91,482.9,512.58,500.01,516.15,626.83
AL,3760,527.76,502.14,480.71,512.38,499.88,515.58,630.23
BA,16939,528.38,503.35,480.77,516.96,504.91,510.77,628.48
